asset_id,asset_type,age_days,days_since_last_pm,cumulative_downtime_hours,historical_work_order_count,vibration_rms,operating_temperature_c,power_consumption_kwh,ambient_humidity,thermal_vibration_index,pm_overdue_ratio,downtime_intensity,failed_within_30_days
AST-HVA-491,HVAC,932,174,13.6,4,5.03,73.1,31.6,37.4,2.449,1.933,0.438,0
AST-WAT-423,Water Pump,1719,91,46.9,9,5.0,64.2,22.8,41.5,2.14,1.011,0.818,0
AST-HVA-817,HVAC,1108,64,7.7,3,1.72,62.9,26.0,61.4,0.72,0.711,0.208,0
AST-LAB-789,Lab Equipment,1430,20,44.1,8,1.77,53.9,15.4,54.7,0.637,0.222,0.925,0
AST-GEN-587,Generator,1315,91,18.6,9,2.96,58.9,45.9,38.1,1.164,1.011,0.424,0
AST-IT -375,IT Server,778,192,0.0,0,4.02,74.8,23.6,39.2,2.004,2.133,0.0,0
AST-GEN-610,Generator,847,61,17.5,8,1.55,69.5,45.0,77.4,0.721,0.678,0.62,0
AST-WAT-371,Water Pump,876,59,27.5,4,3.68,47.8,41.5,42.1,1.174,0.656,0.942,0
AST-GEN-956,Generator,1488,40,25.7,6,2.71,81.9,49.3,55.2,1.479,0.444,0.518,0
AST-HVA-180,HVAC,2047,158,23.8,9,5.35,63.3,21.7,72.4,2.257,1.756,0.349,1
AST-WAT-654,Water Pump,203,218,3.4,1,7.18,84.3,45.6,45.3,4.034,2.422,0.502,1
AST-IT -422,IT Server,2046,230,100.6,13,6.64,88.9,25.1,33.1,3.937,2.556,1.475,1
AST-IT -989,IT Server,1155,126,80.5,7,2.98,73.8,20.0,51.8,1.464,1.4,2.091,1
AST-WAT-623,Water Pump,1177,102,15.5,7,2.18,67.0,27.7,55.2,0.974,1.133,0.395,0
AST-IT -231,IT Server,251,135,0.0,0,2.4,52.9,16.3,83.6,0.847,1.5,0.0,0
AST-LAB-653,Lab Equipment,163,129,0.0,0,2.32,39.0,13.7,34.8,0.605,1.433,0.0,0
AST-WAT-802,Water Pump,745,118,5.8,4,3.45,71.8,35.9,56.0,1.65,1.311,0.234,0
AST-ELE-630,Elevator,1914,81,184.6,17,4.31,70.4,25.6,63.5,2.022,0.9,2.893,1
AST-HVA-790,HVAC,893,98,49.2,3,2.91,46.1,24.2,48.7,0.894,1.089,1.653,0
AST-MED-470,Medical,1093,48,51.5,10,1.82,45.8,8.5,66.2,0.555,0.533,1.414,0
AST-GEN-375,Generator,1960,157,52.4,16,4.93,79.8,55.7,64.6,2.625,1.744,0.802,1
AST-GEN-610,Generator,1766,54,5.8,10,2.24,87.2,47.8,59.2,1.302,0.6,0.099,0
AST-WAT-481,Water Pump,1525,219,34.4,5,6.74,78.0,41.7,52.8,3.506,2.433,0.677,1
AST-LAB-284,Lab Equipment,2370,34,74.7,10,3.02,51.4,11.6,40.8,1.035,0.378,0.946,0
AST-ELE-334,Elevator,439,185,1.0,3,5.97,76.5,39.9,29.4,3.049,2.056,0.068,1
AST-GEN-668,Generator,1800,220,9.1,11,6.88,107.8,57.1,52.5,4.943,2.444,0.152,1
AST-GEN-919,Generator,642,122,29.6,2,2.32,65.2,45.1,27.5,1.007,1.356,1.383,0
AST-GEN-531,Generator,2076,35,86.9,9,3.28,86.1,52.2,48.9,1.884,0.389,1.256,0
AST-WAT-745,Water Pump,2147,137,47.2,9,5.93,76.5,34.5,41.1,3.025,1.522,0.66,1
AST-WAT-598,Water Pump,1258,65,30.4,7,2.92,58.6,37.6,75.4,1.14,0.722,0.725,0
AST-IT -148,IT Server,1661,26,113.9,7,3.04,67.5,13.4,62.6,1.369,0.289,2.057,0
AST-HVA-320,HVAC,1071,122,43.7,5,3.26,53.5,17.1,36.7,1.161,1.356,1.224,0
AST-HVA-560,HVAC,1400,67,19.2,5,2.18,56.2,20.8,37.7,0.817,0.744,0.411,0
AST-IT -670,IT Server,1085,89,24.2,6,1.37,50.8,14.3,49.4,0.465,0.989,0.669,0
AST-HVA-459,HVAC,844,148,22.4,2,3.41,82.6,26.6,20.0,1.879,1.644,0.796,0
AST-ELE-651,Elevator,744,200,2.3,3,5.83,72.8,41.1,55.2,2.83,2.222,0.093,1
AST-MED-789,Medical,2120,125,79.7,14,3.62,63.1,13.5,45.6,1.524,1.389,1.128,0
AST-LAB-180,Lab Equipment,1590,158,44.3,9,4.42,62.5,15.4,30.4,1.839,1.756,0.836,1
AST-ELE-248,Elevator,716,164,8.9,1,4.96,62.6,32.9,73.3,2.07,1.822,0.373,0
AST-MED-531,Medical,2371,104,36.2,18,2.52,46.3,9.2,55.3,0.776,1.156,0.458,0
AST-HVA-181,HVAC,693,88,65.4,7,2.83,49.5,21.8,67.5,0.935,0.978,2.831,0
AST-MED-768,Medical,1223,182,70.4,4,4.64,61.2,16.9,60.5,1.891,2.022,1.727,1
AST-ELE-504,Elevator,1141,228,6.9,7,6.29,87.2,37.2,42.9,3.658,2.533,0.181,1
AST-WAT-471,Water Pump,2434,134,31.7,14,4.7,67.7,31.8,58.7,2.121,1.489,0.391,0
AST-LAB-271,Lab Equipment,783,219,15.0,6,5.65,70.0,24.0,60.6,2.638,2.433,0.575,1
AST-ELE-340,Elevator,1060,191,38.5,6,5.24,82.0,41.3,60.8,2.862,2.122,1.09,1
AST-HVA-315,HVAC,713,102,1.9,1,1.9,50.6,24.1,34.2,0.642,1.133,0.08,0
AST-HVA-999,HVAC,1968,141,11.0,9,3.84,66.8,24.0,49.7,1.711,1.567,0.168,1
AST-WAT-506,Water Pump,2176,196,64.6,12,6.24,92.9,47.1,53.4,3.862,2.178,0.891,0
AST-HVA-368,HVAC,666,22,23.7,9,1.65,48.8,24.4,38.4,0.539,0.244,1.068,0
AST-LAB-416,Lab Equipment,969,64,23.8,4,2.02,47.4,13.5,52.0,0.639,0.711,0.737,0
AST-LAB-741,Lab Equipment,547,34,40.5,2,2.44,45.5,11.5,38.3,0.74,0.378,2.221,0
AST-GEN-129,Generator,173,170,0.0,0,4.83,82.1,53.9,35.5,2.64,1.889,0.0,1
AST-MED-984,Medical,1980,120,32.2,8,2.67,51.7,9.8,41.6,0.919,1.333,0.488,0
AST-IT -378,IT Server,2276,114,52.6,13,2.35,53.9,17.9,40.4,0.845,1.267,0.693,0
AST-ELE-652,Elevator,755,152,30.1,7,3.85,67.9,28.8,47.5,1.742,1.689,1.196,0
AST-ELE-866,Elevator,2340,112,68.2,15,4.22,69.5,28.7,43.6,1.953,1.244,0.874,1
AST-ELE-646,Elevator,1298,233,90.8,7,8.23,100.9,37.2,59.5,5.534,2.589,2.099,1
AST-IT -332,IT Server,396,114,18.5,3,1.88,57.6,17.1,41.0,0.721,1.267,1.402,0
AST-LAB-366,Lab Equipment,667,78,10.5,6,1.7,47.1,14.0,59.1,0.534,0.867,0.472,0
AST-IT -934,IT Server,588,89,118.8,6,2.19,51.8,16.0,64.2,0.758,0.989,6.061,0
AST-IT -108,IT Server,2044,194,42.6,15,4.98,76.3,25.8,52.3,2.532,2.156,0.625,1
AST-HVA-884,HVAC,1793,205,44.1,9,5.18,89.8,31.8,52.5,3.1,2.278,0.738,1
AST-GEN-915,Generator,59,141,0.0,0,3.42,91.1,46.0,46.8,2.08,1.567,0.0,0
AST-LAB-674,Lab Equipment,1820,102,40.1,13,2.07,57.6,14.0,30.5,0.796,1.133,0.661,0
AST-ELE-854,Elevator,1626,213,71.4,13,6.73,87.0,36.2,58.2,3.905,2.367,1.317,1
AST-MED-181,Medical,1759,161,3.3,5,3.84,53.0,13.3,36.4,1.357,1.789,0.056,0
AST-WAT-919,Water Pump,1143,73,44.3,7,4.51,63.1,31.0,58.9,1.898,0.811,1.163,0
AST-IT -928,IT Server,1131,106,201.8,10,2.98,57.4,14.4,34.3,1.141,1.178,5.353,1
AST-HVA-286,HVAC,589,75,0.3,3,2.74,50.9,21.0,55.4,0.931,0.833,0.015,0
AST-LAB-732,Lab Equipment,1884,70,22.5,11,2.35,35.0,12.7,37.6,0.549,0.778,0.358,0
AST-LAB-292,Lab Equipment,1343,5,3.8,3,1.27,52.8,13.6,70.8,0.447,0.056,0.085,0
AST-IT -122,IT Server,791,27,30.8,8,1.54,50.9,14.9,52.0,0.523,0.3,1.168,0
AST-GEN-832,Generator,1825,187,61.5,13,5.87,86.7,61.3,70.9,3.391,2.078,1.011,1
AST-HVA-254,HVAC,90,127,0.0,0,2.15,61.4,23.1,43.4,0.88,1.411,0.0,0
AST-LAB-419,Lab Equipment,2071,96,21.8,11,2.33,47.1,12.3,55.9,0.732,1.067,0.316,0
AST-WAT-132,Water Pump,1382,21,24.1,14,3.38,71.3,32.9,33.9,1.607,0.233,0.523,0
AST-GEN-157,Generator,1121,199,76.8,3,6.62,96.3,63.9,34.6,4.253,2.211,2.055,1
AST-IT -581,IT Server,773,50,25.7,4,1.08,36.8,19.2,46.4,0.266,0.556,0.997,0
AST-MED-936,Medical,1592,213,34.4,8,6.04,73.2,17.4,44.8,2.946,2.367,0.648,1
AST-WAT-831,Water Pump,1049,99,94.6,8,4.17,65.1,32.7,40.7,1.812,1.1,2.705,0
AST-LAB-353,Lab Equipment,167,51,12.3,1,1.29,38.0,13.8,56.6,0.326,0.567,2.21,0
AST-WAT-196,Water Pump,2164,171,41.6,18,5.22,82.8,36.8,47.1,2.88,1.9,0.577,0
AST-LAB-498,Lab Equipment,1308,240,40.3,10,6.91,82.3,22.3,80.0,3.789,2.667,0.924,1
AST-ELE-845,Elevator,202,191,14.7,4,5.04,82.9,34.4,42.2,2.785,2.122,2.183,0
AST-IT -225,IT Server,1067,124,0.1,8,2.05,57.9,18.0,28.8,0.792,1.378,0.003,0
AST-GEN-469,Generator,243,222,0.0,0,7.46,91.5,52.9,68.4,4.552,2.467,0.0,1
AST-HVA-341,HVAC,1808,84,116.3,11,4.28,63.6,19.2,58.2,1.813,0.933,1.93,1
AST-WAT-382,Water Pump,2424,31,288.0,21,4.33,57.3,26.1,46.5,1.654,0.344,3.564,1
AST-GEN-109,Generator,202,149,1.4,1,4.01,68.7,52.1,66.4,1.834,1.656,0.208,0
AST-LAB-804,Lab Equipment,2472,40,133.3,19,3.0,65.8,11.2,52.4,1.317,0.444,1.618,1
AST-HVA-354,HVAC,675,128,5.9,4,3.63,65.5,25.2,47.7,1.584,1.422,0.262,0
AST-IT -446,IT Server,275,16,6.3,1,1.47,44.0,14.3,45.8,0.432,0.178,0.687,0
AST-GEN-818,Generator,2226,203,13.9,9,7.71,86.6,64.4,46.0,4.45,2.256,0.187,1
AST-LAB-338,Lab Equipment,1327,143,3.9,4,3.35,54.6,16.8,50.4,1.218,1.589,0.088,0
AST-WAT-455,Water Pump,1826,188,41.8,15,5.58,80.9,38.7,44.6,3.009,2.089,0.687,1
AST-ELE-486,Elevator,1497,186,139.3,8,6.36,78.9,33.9,36.4,3.341,2.067,2.792,1
AST-HVA-596,HVAC,1822,144,71.1,11,4.84,71.6,27.9,53.7,2.312,1.6,1.171,1
AST-ELE-601,Elevator,807,146,131.7,8,3.95,81.4,33.8,46.6,2.147,1.622,4.896,1
AST-MED-431,Medical,1948,71,26.1,12,2.01,41.0,12.1,56.2,0.55,0.789,0.402,0
AST-IT -981,IT Server,2301,42,169.2,19,2.65,57.9,15.3,67.6,1.024,0.467,2.206,1
AST-GEN-560,Generator,1241,210,19.7,2,7.78,78.8,58.1,65.1,4.091,2.333,0.476,1
AST-MED-564,Medical,32,199,0.0,0,4.8,62.9,17.5,51.1,2.012,2.211,0.0,0
AST-LAB-851,Lab Equipment,789,227,11.5,4,6.06,76.8,23.5,43.3,3.104,2.522,0.437,1
AST-WAT-472,Water Pump,1008,83,35.2,3,2.85,67.5,29.8,70.6,1.283,0.922,1.048,0
AST-ELE-651,Elevator,1617,49,188.1,10,4.02,67.1,22.0,32.9,1.797,0.544,3.49,1
AST-LAB-884,Lab Equipment,2288,40,72.8,9,2.42,55.9,9.7,36.9,0.903,0.444,0.955,0
AST-MED-519,Medical,1349,29,15.8,11,1.7,38.7,8.0,47.5,0.438,0.322,0.351,0
AST-ELE-168,Elevator,209,214,0.0,0,5.34,73.2,39.9,56.9,2.604,2.378,0.0,0
AST-GEN-994,Generator,158,52,0.0,0,1.63,81.2,42.9,68.4,0.883,0.578,0.0,0
AST-GEN-201,Generator,160,147,0.0,0,4.28,81.8,50.0,42.3,2.335,1.633,0.0,0
AST-LAB-773,Lab Equipment,2036,135,258.7,16,4.7,65.0,15.0,53.1,2.036,1.5,3.812,1
AST-IT -362,IT Server,231,94,0.0,0,1.09,38.5,16.7,49.6,0.279,1.044,0.0,0
AST-ELE-172,Elevator,83,239,0.0,0,6.48,75.4,35.8,29.9,3.258,2.656,0.0,0
AST-ELE-603,Elevator,357,120,8.9,2,4.18,61.9,31.9,37.2,1.726,1.333,0.748,0
AST-HVA-469,HVAC,2315,191,23.8,10,6.34,66.9,28.5,39.7,2.827,2.122,0.308,0
AST-LAB-941,Lab Equipment,1541,204,31.4,10,6.81,69.5,20.9,51.4,3.157,2.267,0.611,1
AST-WAT-731,Water Pump,1118,136,126.1,5,5.55,81.3,29.8,45.8,3.007,1.511,3.384,1
AST-HVA-954,HVAC,1274,20,31.6,8,2.47,52.8,26.7,45.1,0.87,0.222,0.744,0
AST-IT -199,IT Server,444,186,10.7,2,4.07,63.4,21.3,84.0,1.719,2.067,0.723,0
AST-LAB-294,Lab Equipment,821,135,13.3,7,3.25,55.7,16.8,65.1,1.208,1.5,0.486,0
AST-IT -740,IT Server,762,143,23.0,8,2.94,68.0,18.7,59.4,1.334,1.589,0.906,0
AST-LAB-864,Lab Equipment,462,197,7.3,3,5.08,58.5,19.8,56.9,1.98,2.189,0.474,0
AST-MED-790,Medical,1908,180,14.7,12,4.33,54.6,16.7,66.7,1.577,2.0,0.231,0
AST-HVA-270,HVAC,768,141,13.3,9,2.39,69.7,25.5,72.9,1.112,1.567,0.52,0
AST-MED-773,Medical,677,137,32.2,7,3.07,46.7,12.1,36.3,0.956,1.522,1.427,0
AST-LAB-460,Lab Equipment,1320,141,8.6,7,3.11,62.6,16.4,62.9,1.297,1.567,0.195,0
AST-MED-965,Medical,1552,106,43.0,5,2.44,49.4,8.8,55.6,0.802,1.178,0.831,0
AST-LAB-945,Lab Equipment,1354,156,37.2,6,4.99,67.2,17.5,60.4,2.235,1.733,0.824,1
AST-IT -319,IT Server,1566,197,24.0,5,4.89,59.9,26.5,31.1,1.951,2.189,0.46,0
AST-ELE-360,Elevator,1504,116,10.5,10,3.66,76.7,33.5,46.5,1.871,1.289,0.209,0
AST-LAB-100,Lab Equipment,171,73,1.4,2,0.78,31.0,10.3,51.5,0.161,0.811,0.246,0
AST-IT -238,IT Server,1266,2,50.7,10,1.93,50.4,13.7,24.8,0.648,0.022,1.201,0
AST-GEN-319,Generator,1319,6,0.9,9,3.52,70.2,46.4,61.8,1.647,0.067,0.02,0
AST-ELE-942,Elevator,1160,236,53.8,8,7.63,87.6,36.5,42.9,4.459,2.622,1.391,1
AST-IT -684,IT Server,2371,40,242.3,12,2.46,61.6,16.1,61.6,1.011,0.444,3.066,1
AST-LAB-464,Lab Equipment,669,36,21.4,4,0.97,35.0,8.3,53.3,0.226,0.4,0.96,0
AST-IT -355,IT Server,984,66,0.0,0,1.05,37.9,15.1,36.7,0.265,0.733,0.0,0
AST-HVA-684,HVAC,1667,146,34.7,13,4.58,58.9,28.7,57.5,1.801,1.622,0.624,0
AST-ELE-179,Elevator,1359,203,26.1,13,5.35,83.6,42.1,60.9,2.984,2.256,0.576,1
AST-LAB-945,Lab Equipment,2390,210,39.2,12,5.87,67.2,24.6,41.7,2.628,2.333,0.492,1
AST-IT -757,IT Server,1260,10,51.3,5,1.86,43.3,9.5,37.8,0.538,0.111,1.221,0
AST-IT -490,IT Server,351,200,35.2,2,4.7,73.5,22.1,49.2,2.307,2.222,3.009,1
AST-WAT-442,Water Pump,1455,226,16.5,5,6.98,88.5,47.5,57.3,4.119,2.511,0.34,1
AST-LAB-988,Lab Equipment,523,223,0.9,2,5.58,61.4,24.2,67.7,2.284,2.478,0.052,0
AST-ELE-768,Elevator,2497,238,109.3,12,9.23,92.7,47.5,51.1,5.704,2.644,1.313,1
AST-WAT-747,Water Pump,1596,14,49.4,10,2.87,63.3,30.0,62.6,1.213,0.156,0.929,0
AST-HVA-426,HVAC,2241,145,20.2,15,4.12,63.1,26.3,42.7,1.731,1.611,0.27,1
AST-IT -814,IT Server,934,40,26.8,5,1.57,50.9,15.8,63.5,0.532,0.444,0.861,0
AST-ELE-502,Elevator,1855,193,79.1,9,7.36,81.7,28.7,40.9,4.009,2.144,1.279,1
AST-IT -192,IT Server,939,111,1.3,5,2.16,64.4,18.2,38.2,0.927,1.233,0.042,0
AST-LAB-251,Lab Equipment,571,87,34.3,4,2.38,44.6,13.3,63.7,0.708,0.967,1.802,0
AST-IT -863,IT Server,231,141,9.2,3,2.74,63.8,16.7,59.9,1.163,1.567,1.195,0
AST-HVA-508,HVAC,2085,112,54.6,11,3.2,58.9,24.4,84.2,1.257,1.244,0.786,0
AST-GEN-880,Generator,582,124,1.1,1,3.39,79.0,60.5,51.3,1.783,1.378,0.057,0
AST-LAB-504,Lab Equipment,2370,51,17.2,9,2.07,49.0,11.4,58.4,0.675,0.567,0.218,0
AST-ELE-636,Elevator,1038,63,75.3,5,3.93,65.6,25.6,22.1,1.717,0.7,2.176,1
AST-WAT-540,Water Pump,1354,176,37.9,5,4.79,82.6,29.4,40.8,2.637,1.956,0.84,0
AST-HVA-215,HVAC,1724,109,10.9,11,2.88,57.9,24.6,42.5,1.112,1.211,0.19,0
AST-GEN-428,Generator,1441,153,1.0,6,4.56,90.0,49.4,45.8,2.74,1.7,0.021,0
AST-WAT-412,Water Pump,723,90,8.7,3,2.41,56.4,33.3,37.7,0.906,1.0,0.361,0
AST-WAT-552,Water Pump,627,113,9.2,3,3.15,83.9,36.5,28.3,1.763,1.256,0.44,1
AST-WAT-339,Water Pump,847,176,0.7,2,5.47,67.1,38.5,41.4,2.446,1.956,0.025,0
AST-WAT-845,Water Pump,381,29,8.7,1,2.97,61.3,34.4,61.7,1.215,0.322,0.685,0
AST-GEN-735,Generator,634,223,10.1,2,6.49,92.0,47.8,55.2,3.984,2.478,0.478,1
AST-MED-114,Medical,1436,178,70.7,8,4.59,60.1,16.0,60.4,1.84,1.978,1.477,0
AST-MED-560,Medical,1959,6,451.3,10,3.18,54.1,8.9,55.5,1.148,0.067,6.911,1
AST-ELE-650,Elevator,897,53,14.6,6,3.31,41.3,26.3,20.0,0.91,0.589,0.488,0
AST-WAT-364,Water Pump,2277,124,2.9,10,4.45,59.7,32.2,55.7,1.772,1.378,0.038,0
AST-GEN-811,Generator,105,97,0.0,0,2.63,68.7,39.0,64.4,1.206,1.078,0.0,0
AST-ELE-639,Elevator,208,66,0.0,0,2.43,51.4,26.8,50.1,0.832,0.733,0.0,0
AST-MED-305,Medical,1141,14,12.0,6,1.32,37.9,9.4,44.7,0.334,0.156,0.316,0
AST-HVA-168,HVAC,1621,170,6.1,11,4.79,77.9,37.1,70.5,2.49,1.889,0.113,1
AST-WAT-775,Water Pump,1505,222,2.3,8,6.47,80.5,45.2,35.8,3.471,2.467,0.046,1
AST-MED-988,Medical,1613,60,214.9,7,2.31,60.6,8.6,43.8,0.934,0.667,3.997,0
AST-IT -826,IT Server,437,232,0.4,2,5.01,74.8,28.4,65.3,2.499,2.578,0.027,1
AST-WAT-711,Water Pump,2207,23,21.5,18,3.77,72.7,36.6,55.9,1.827,0.256,0.292,0
AST-IT -568,IT Server,2326,238,79.0,13,6.65,81.7,24.3,57.1,3.623,2.644,1.019,1
AST-HVA-353,HVAC,2198,79,33.7,6,3.58,53.9,21.1,22.0,1.287,0.878,0.46,0
AST-LAB-862,Lab Equipment,673,5,65.0,8,2.41,49.9,13.8,44.4,0.802,0.056,2.897,0
AST-MED-463,Medical,1268,61,28.9,10,1.59,43.6,8.8,51.9,0.461,0.678,0.684,0
AST-IT -382,IT Server,283,161,30.1,1,3.25,65.0,22.6,40.5,1.407,1.789,3.191,0
AST-LAB-934,Lab Equipment,150,143,0.6,2,2.84,54.7,20.1,59.0,1.037,1.589,0.12,0
AST-GEN-255,Generator,1429,230,16.9,9,6.35,99.6,51.2,68.7,4.219,2.556,0.355,1
AST-GEN-189,Generator,1595,134,7.8,5,5.85,79.1,47.3,58.6,3.086,1.489,0.147,0
AST-IT -993,IT Server,961,107,5.3,6,1.73,50.7,13.6,45.3,0.584,1.189,0.165,0
AST-GEN-536,Generator,1309,233,105.5,8,6.98,113.0,55.4,30.2,5.26,2.589,2.418,1
AST-LAB-655,Lab Equipment,569,53,29.8,3,1.71,49.3,14.1,43.7,0.564,0.589,1.571,0
AST-IT -654,IT Server,858,221,80.8,5,6.06,73.6,23.7,36.1,2.975,2.456,2.825,1
AST-ELE-822,Elevator,2175,233,48.8,10,7.18,96.2,44.4,59.8,4.606,2.589,0.673,1
AST-WAT-248,Water Pump,2343,235,31.6,8,6.53,85.7,39.1,58.2,3.733,2.611,0.405,1
AST-HVA-670,HVAC,2213,185,5.6,13,5.12,80.8,30.7,50.7,2.758,2.056,0.076,1
AST-MED-959,Medical,626,187,28.8,3,4.5,55.9,14.9,77.4,1.677,2.078,1.38,1
AST-MED-523,Medical,1714,78,120.8,10,2.44,51.2,7.4,63.6,0.831,0.867,2.114,0
AST-WAT-752,Water Pump,1151,39,3.9,9,2.02,60.7,33.6,70.1,0.818,0.433,0.102,0
AST-HVA-234,HVAC,786,7,38.4,5,2.63,58.6,21.3,42.8,1.027,0.078,1.466,0
AST-IT -731,IT Server,1123,156,1.1,7,3.24,61.3,21.8,47.9,1.323,1.733,0.029,0
AST-GEN-710,Generator,981,60,54.2,6,3.28,78.6,39.2,49.1,1.722,0.667,1.657,0
AST-MED-181,Medical,1982,35,15.0,4,1.88,47.8,8.3,45.7,0.6,0.389,0.227,0
AST-IT -580,IT Server,1561,48,57.3,9,2.41,57.6,11.2,41.5,0.927,0.533,1.101,0
AST-LAB-585,Lab Equipment,593,42,8.2,1,2.02,50.7,11.9,66.7,0.683,0.467,0.415,0
AST-HVA-518,HVAC,91,237,0.0,0,6.13,77.9,34.4,60.8,3.182,2.633,0.0,1
AST-LAB-327,Lab Equipment,860,194,17.4,4,4.5,63.5,22.6,48.4,1.904,2.156,0.607,1
AST-GEN-549,Generator,2036,177,41.1,8,7.48,88.6,56.7,59.2,4.414,1.967,0.606,1
AST-LAB-352,Lab Equipment,1781,104,1.6,8,2.72,56.5,14.9,65.2,1.025,1.156,0.027,0
AST-IT -852,IT Server,1588,185,77.5,8,4.83,68.9,24.5,62.5,2.22,2.056,1.464,1
AST-IT -860,IT Server,2372,153,74.6,15,4.07,73.5,22.2,45.8,1.993,1.7,0.944,1
AST-ELE-996,Elevator,187,134,0.0,0,2.04,53.0,33.3,55.2,0.722,1.489,0.0,0
AST-LAB-946,Lab Equipment,203,225,11.3,2,5.46,65.6,24.0,49.6,2.384,2.5,1.67,0
AST-IT -650,IT Server,1650,189,23.6,7,4.54,73.3,24.4,55.7,2.219,2.1,0.429,1
AST-LAB-628,Lab Equipment,231,49,0.0,0,1.08,46.3,10.3,60.2,0.333,0.544,0.0,0
AST-LAB-411,Lab Equipment,1201,119,20.2,5,3.33,47.1,14.7,65.8,1.045,1.322,0.505,0
AST-MED-727,Medical,253,177,0.0,0,3.83,53.7,14.0,57.4,1.37,1.967,0.0,0
AST-GEN-574,Generator,1880,24,74.2,14,3.3,82.3,50.0,58.0,1.813,0.267,1.184,0
AST-HVA-284,HVAC,2427,229,31.7,20,7.21,100.8,32.8,44.6,4.847,2.544,0.392,1
AST-GEN-502,Generator,1723,83,11.4,8,1.3,58.8,45.7,43.6,0.508,0.922,0.198,0
AST-GEN-564,Generator,2447,230,240.9,14,9.4,103.3,52.0,48.1,6.475,2.556,2.953,1
AST-GEN-565,Generator,399,65,15.3,1,2.45,64.4,40.1,68.2,1.051,0.722,1.15,0
AST-ELE-828,Elevator,701,184,10.7,6,4.59,83.9,27.8,32.9,2.57,2.044,0.458,0
AST-HVA-216,HVAC,1870,163,108.8,12,5.32,79.7,32.3,48.0,2.825,1.811,1.745,1
AST-IT -824,IT Server,1603,187,4.8,7,4.43,57.2,24.1,36.5,1.69,2.078,0.09,0
AST-IT -726,IT Server,684,97,6.2,4,1.51,49.6,14.9,51.1,0.499,1.078,0.272,0
AST-HVA-886,HVAC,729,234,9.0,3,5.92,96.7,31.4,35.7,3.813,2.6,0.37,1
AST-WAT-775,Water Pump,644,42,40.0,4,2.61,58.5,36.2,46.3,1.019,0.467,1.863,0
AST-GEN-887,Generator,240,108,0.0,0,1.38,71.7,36.1,76.2,0.658,1.2,0.0,0
AST-ELE-887,Elevator,1857,74,8.2,9,2.35,57.5,28.6,43.2,0.899,0.822,0.132,0
AST-HVA-234,HVAC,860,1,6.4,5,2.33,63.8,21.3,45.1,0.993,0.011,0.223,0
AST-MED-112,Medical,1908,128,14.3,8,3.0,49.3,10.6,28.0,0.987,1.422,0.225,0
AST-IT -926,IT Server,53,156,0.0,0,3.08,59.2,22.1,49.9,1.213,1.733,0.0,0
AST-GEN-322,Generator,2441,169,309.7,19,5.63,85.5,52.3,43.5,3.209,1.878,3.806,1
AST-LAB-552,Lab Equipment,355,154,7.0,2,3.6,50.9,16.0,38.2,1.223,1.711,0.592,0
AST-GEN-660,Generator,1169,159,101.4,4,4.41,96.4,45.5,51.4,2.838,1.767,2.602,1
AST-WAT-945,Water Pump,880,13,31.6,5,0.98,76.7,22.5,50.4,0.501,0.144,1.077,0
AST-HVA-768,HVAC,1459,10,29.1,7,2.69,64.7,19.7,31.6,1.161,0.111,0.598,0
AST-HVA-783,HVAC,2397,215,9.4,4,5.9,76.4,30.3,42.9,3.004,2.389,0.118,1
AST-MED-189,Medical,230,28,0.0,0,1.06,36.7,8.9,58.1,0.26,0.311,0.0,0
AST-GEN-265,Generator,1194,157,29.8,9,4.87,86.0,43.0,32.6,2.792,1.744,0.749,1
AST-ELE-709,Elevator,2374,202,56.3,18,6.57,84.3,35.1,41.5,3.692,2.244,0.711,1
AST-LAB-867,Lab Equipment,2401,93,34.6,18,2.03,51.3,12.8,30.1,0.694,1.033,0.432,0
AST-HVA-886,HVAC,1255,83,6.9,7,2.6,60.0,31.7,35.5,1.039,0.922,0.165,0
AST-LAB-939,Lab Equipment,307,195,0.0,0,4.68,70.5,22.3,35.5,2.202,2.167,0.0,0
AST-IT -166,IT Server,1229,121,97.6,6,3.56,61.6,17.3,63.9,1.461,1.344,2.382,1
AST-ELE-980,Elevator,1154,85,187.8,8,4.34,60.9,37.8,58.3,1.761,0.944,4.882,1
AST-IT -314,IT Server,886,157,20.4,4,3.57,66.9,20.2,31.8,1.594,1.744,0.691,1
AST-IT -847,IT Server,2196,23,14.3,5,1.68,48.4,15.5,32.8,0.542,0.256,0.195,0
AST-ELE-719,Elevator,1206,110,150.1,12,3.15,69.1,28.7,62.6,1.45,1.222,3.734,1
AST-MED-365,Medical,2182,148,43.3,15,4.03,62.3,11.8,47.0,1.676,1.644,0.595,0
AST-MED-232,Medical,2334,128,214.8,18,4.55,53.8,13.0,54.6,1.631,1.422,2.761,1
AST-ELE-609,Elevator,2047,207,82.3,14,7.39,91.8,34.8,65.0,4.521,2.3,1.206,1
AST-IT -338,IT Server,1219,50,3.1,4,1.27,47.3,13.9,52.6,0.4,0.556,0.076,1
AST-HVA-576,HVAC,513,189,0.4,1,5.23,61.5,29.9,51.6,2.144,2.1,0.023,0
AST-WAT-730,Water Pump,1728,106,168.5,6,5.18,77.4,38.3,52.4,2.672,1.178,2.925,1
AST-MED-673,Medical,899,3,34.5,9,1.83,46.2,8.1,42.8,0.565,0.033,1.151,0
